name	mz	rt	D121	A122	A125	A126	A127	A128	B131	B132	B133	B134	B135	B136	C138	C139	C140	C157	C158	C159	C160	D202	D203	D205	A206	D207	D208	E211	E213	E214	E215	E216	H234	H235	H236	H237	H238	H239	H240
M102T899	102.0341529	898.85016	14045836.33	3689952.544	3598362.963	11388747.45	4887524.252	2104782.427	7288257.536	3136744.781		3111839.487	5824075.244		2600568.746	3321770.65	15442209.34		2258913.086	7686690.444		3788432.453	6337040.844	1231048.855	6867952.021	2416387.172	4017256.074	906696.0594	6251801.071	3125203.48	3608368.61		4763810.509	2281364.741		3404449.732	3720440.83	453903.1617	
M102T849	102.0341535	849.08535	14739610.74		5934387.277		4607623.764	5969186.111	3367949.296	6453844.277	5681369.224	874048.4812		7756306.284	10009588.64	7660196.149	10987972.65	5631630.548	5335856.649	732305.3181	6682820.384	1721114.182	9557621.902	6917155.809		5587057.101	3693918.27	5346684.868	3564733.822	12760058.6	14907703.46	2880141.867	4263576.643				4437696.548	6777076.231	6341930.491
M105T45	105.0426767	45.3539421	552086.5013	181327.9464	273492.2875	234265.5078	62413.94793	106827.7082	119245.1405		188861.8054	234210.7123	162830.7113	79532.13116		116733.7594		137365.5708	208058.6109	121675.953	160564.9602	238307.5432	371034.8285	102447.4364	338356.386		95854.69653		338316.6266	30929.45861	178832.3549	181079.3834	322525.58		373477.7669	193534.9088		109470.4773	194673.17
M105T54	105.0549607	54.350049	666963.5361	4833251.083	2137479.326	1552473.472	1753294.327	2301363.34			1154528.248	1997405.031	1256687.782	1705077.094	1187476.039	2077118.73	1115846.16		1668333.077	962686.0311		1339376.94	936705.3684	756879.1669	5342043.882	2950819.013	981515.9353	1093437.231	1070320.231	1186390.344	3001166.85	2558920.51			1695459.941		1834140.056	1029692.277	438261.8312
M105T48_1	105.0742159	47.5386255	631011.334		519930.2488	430256.6195	565014.0777	363540.5532	1096529.522	730909.2259	443413.7124	180652.1218	351727.6368		835125.0494	1493073.018	446448.8334	895208.3542	722110.1777	651923.6993	679133.0411	1162638.524	429670.5402		250006.1349	709632.6932	430218.0399		316129.6052	788274.7589		982208.9908	497440.2679	360454.1305	1340655.87			602020.2664	359765.5371
M107T771	106.9508596	771.19158	65843.29229	72107.49961	78150.52661	73634.65816		84518.61415	65053.92952	84982.18741	104903.3018	61448.77367	35111.18282			73129.56433	56935.94153	43178.16733				38480.57268	89671.78198	49763.44135	74873.57928	54265.40564	64737.25678	85952.80255	69134.17725	55852.81505	66288.78281	61766.66994	62461.72232	83865.40719	60887.0162	80984.1798	87860.94645		57311.69708
M110T268	110.0684033	268.015992	129765.3956	367794.8353			1203680.93	896963.4028	942937.4338		747820.3028	124720.6625		755249.3396	175430.6328		214412.9551	406327.5084	470513.8503	238632.5414	456289.4088	319639.3384	391790.8182		418437.0922	368687.7413	251942.9476	748861.9185	308642.8187	205565.3983	219467.1915	168136.4919		626500.2874	141098.0996	744634.7074	470897.0821	176975.2799	89078.35468
M113T104	113.0600174	103.801743		1181446.696			3283834.302	1585043.046	2645968.789	2622172.037	1873728.052	2018753.603	1337980.947	3626821.379	1214501.385	1736820.869	1107200.479		2061336.101	634246.7484	2220240.934	1117529.38		1002582.736	1367372.604	3865005.379	1003140.521	2178064.604		3182692.912	2436241.901	1669892.821	2268857.829	2146211.926	1352715.223	1943762.337	2014889.828	869830.0407	
M113T285	113.0959919	285.331773	102231.1995	322078.495	216512.5266	229279.5593	475745.368	208003.666	501374.4047	276846.9562		163035.6881	82287.28535	564305.0258	122878.7812	255739.1167	46740.71765	109354.4908		88912.65211	604010.0265	226671.2763	60418.03226			887905.0081	180010.6049	195160.3554		67000.28872	449084.2551	128653.3778	397741.3588			157923.7303	334342.7134	72819.5247	32572.34031
M114T777	113.940533	776.76	390017.0849	303307.9443	335651.0435	372128.3852	286368.4883			312525.4921		372732.0195	253491.5662	191438.6677	248907.0835	279973.5062	360902.4026	329249.0716		219218.1043	245733.9803	384920.4539	315923.1128	343481.7388	379953.7084	376722.9214		254381.5647	308121.677	191104.1685	384402.2911	304564.6021		322952.82	335539.847	288521.0832		319642.0261	318166.6365
