identifier	metabolite_name	rt_lib	inchikey	ion_mod
ACMG_aqC18_POS_0001	MS5029_Isovaleraldehyde	24.599999999999998	QPUYECUOLPXSFR-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0002	LO57_Dihydroxyfumaric acid hydrate	27.0	SEKGMJVHSBBHRD-WZHZPDAFSA-M	positive
ACMG_aqC18_POS_0003	LO61_Benzoic acid	27.0	DMBUODUULYCPAK-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0004	LO52_Spermine	28.2	XDSPGKDYYRNYJI-IUPFWZBJSA-N	positive
ACMG_aqC18_POS_0005	LO21_Spermidine	30.0	HELXLJCILKEWJH-NCGAPWICSA-N	positive
ACMG_aqC18_POS_0006	LO68_3-Furoic acid	31.200000000000003	DCXXMTOCNZCJGO-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0007	LO59_Histamine 2HCl	32.400000000000006	HCMSIGALSOEZRW-WIMNQIPBSA-N	positive
ACMG_aqC18_POS_0008	LO63_Cadaverine dihydrochloride	32.7	CLJLWABDLPQTHL-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0009	LO12_D-Ornithine monohydrochloride	33.0	SGHZXLIDFTYFHQ-UHFFFAOYSA-L	positive
ACMG_aqC18_POS_0010	LO27_D-Glucose 6-phosphate sodium salt	33.0	ACFIXJIJDZMPPO-NNYOXOHSSA-N	positive
ACMG_aqC18_POS_0011	LO73_lysine	33.0	XJLXINKUBYWONI-NNYOXOHSSA-O	positive
ACMG_aqC18_POS_0012	MS5016_1,3-Diaminopropane	33.3	SQHUGNAFKZZXOT-QXAJUEOOSA-N	positive
ACMG_aqC18_POS_0013	LO18_DL-2,3-Diaminopropionic acid monohydroch	33.300000000000004	SUOVMGLZSOAHJY-YEYBIBAWSA-N	positive
ACMG_aqC18_POS_0014	LO74_Agmatine sulfate salt	33.300000000000004	UDXANBFMQUOKTQ-UHFFFAOYSA-N	positive
